,dots_exten,geometry,lon,lat,Alpha-2 code,Country,Alpha-3 code,Numeric
26370,1.13022,POINT (-36.73541666666466 -5.087916666770411),-36.73541666666466,-5.087916666770411,BR,Brazil,BRA,76.0
26371,0.311402,POINT (-35.7612499999982 -5.087500000405726),-35.7612499999982,-5.087500000405726,BR,Brazil,BRA,76.0
26372,0.19199,POINT (-35.880416666664814 -5.067916666770088),-35.880416666664814,-5.067916666770088,BR,Brazil,BRA,76.0
26373,0.512231,POINT (-35.86124999999822 -5.067916666770088),-35.86124999999822,-5.067916666770088,BR,Brazil,BRA,76.0
26374,0.223562,POINT (-36.81833333333145 -5.020416670262705),-36.81833333333145,-5.020416670262705,BR,Brazil,BRA,76.0
26375,73.0951,POINT (-37.146249999998076 -4.972500000394859),-37.146249999998076,-4.972500000394859,BR,Brazil,BRA,76.0
26376,8.44438,POINT (-81.12708333332967 -4.882916666765709),-81.12708333332967,-4.882916666765709,PE,Peru,PER,604.0
26377,1.50403,POINT (-37.24541666666465 -4.8462500000981095),-37.24541666666465,-4.8462500000981095,BR,Brazil,BRA,76.0
26378,3.28895,POINT (-37.2670833333313 -4.802083333430517),-37.2670833333313,-4.802083333430517,BR,Brazil,BRA,76.0
26379,1.56848,POINT (-37.581249999998136 -4.629583333426467),-37.581249999998136,-4.629583333426467,BR,Brazil,BRA,76.0
26380,0.639201,POINT (-81.28541666666274 -4.530000000353368),-81.28541666666274,-4.530000000353368,PE,Peru,PER,604.0
26381,0.638027,POINT (-81.28749999874378 -4.526666666067513),-81.28749999874378,-4.526666666067513,PE,Peru,PER,604.0
26382,0.168121,POINT (-81.29541666666296 -4.5129166667570075),-81.29541666666296,-4.5129166667570075,PE,Peru,PER,604.0
26383,28.9869,POINT (-37.78541666666479 -4.442916666755366),-37.78541666666479,-4.442916666755366,BR,Brazil,BRA,76.0
26384,7.59565,POINT (-37.82624999999797 -4.3954166667541585),-37.82624999999797,-4.3954166667541585,BR,Brazil,BRA,76.0
26385,0.860752,POINT (-37.91708333333139 -4.32958333341935),-37.91708333333139,-4.32958333341935,BR,Brazil,BRA,76.0
26386,1.91566,POINT (-38.047083333331386 -4.217083333416781),-38.047083333331386,-4.217083333416781,BR,Brazil,BRA,76.0
26387,32.5825,POINT (-38.151249999998186 -4.105416666747544),-38.151249999998186,-4.105416666747544,BR,Brazil,BRA,76.0
26388,0.758451,POINT (-81.04291666666296 -4.082916666746883),-81.04291666666296,-4.082916666746883,PE,Peru,PER,604.0
26389,4.13208,POINT (-38.182083333331434 -4.060416666746335),-38.182083333331434,-4.060416666746335,BR,Brazil,BRA,76.0
26390,0.164039,POINT (-81.01541666666299 -4.047916666746119),-81.01541666666299,-4.047916666746119,PE,Peru,PER,604.0
26391,9.73818,POINT (-38.19791666666481 -4.0379166667458435),-38.19791666666481,-4.0379166667458435,BR,Brazil,BRA,76.0
26392,5.59366,POINT (-38.22124999999812 -4.009583333411854),-38.22124999999812,-4.009583333411854,BR,Brazil,BRA,76.0
26393,0.284942,POINT (-38.25624999999815 -3.966250000077423),-38.25624999999815,-3.966250000077423,BR,Brazil,BRA,76.0
26394,3.27931,POINT (-38.34041666666468 -3.9054166667428944),-38.34041666666468,-3.9054166667428944,BR,Brazil,BRA,76.0
26395,29.095,POINT (-38.40249999999804 -3.8212500035627954),-38.40249999999804,-3.8212500035627954,BR,Brazil,BRA,76.0
26396,454.028,POINT (-38.43541666666471 -3.769166666948763),-38.43541666666471,-3.769166666948763,BR,Brazil,BRA,76.0
26397,0.645118,POINT (-80.72874999999635 -3.7129166667383515),-80.72874999999635,-3.7129166667383515,PE,Peru,PER,604.0
26398,760.377,POINT (-38.59291666666479 -3.702083333404744),-38.59291666666479,-3.702083333404744,BR,Brazil,BRA,76.0
26399,0.582466,POINT (-38.68041666666477 -3.660833333605183),-38.68041666666477,-3.660833333605183,BR,Brazil,BRA,76.0
26400,1.17635,POINT (-38.77583333215921 -3.5899999993480947),-38.77583333215921,-3.5899999993480947,BR,Brazil,BRA,76.0
26401,0.818581,POINT (-38.84541666666456 -3.5445833334010217),-38.84541666666456,-3.5445833334010217,BR,Brazil,BRA,76.0
26402,8.98659,POINT (-80.4970833333295 -3.5066666669240476),-80.4970833333295,-3.5066666669240476,PE,Peru,PER,604.0
26403,11.3315,POINT (-38.92374999999811 -3.482083333399487),-38.92374999999811,-3.482083333399487,BR,Brazil,BRA,76.0
26404,0.160265,POINT (-80.3420833333297 -3.45875000006572),-80.3420833333297,-3.45875000006572,PE,Peru,PER,604.0
26405,0.170339,POINT (-80.19208333332972 -3.442083333398614),-80.19208333332972,-3.442083333398614,EC,Ecuador,ECU,218.0
26406,3.19589,POINT (-80.2412499999964 -3.4254166667315644),-80.2412499999964,-3.4254166667315644,EC,Ecuador,ECU,218.0
26407,10.882,POINT (-80.06208333332972 -3.4162500000646787),-80.06208333332972,-3.4162500000646787,EC,Ecuador,ECU,218.0
26408,50.1754,POINT (-39.07166666666461 -3.4104166702168754),-39.07166666666461,-3.4104166702168754,BR,Brazil,BRA,76.0
26409,42.657,POINT (-44.80958333333115 -3.3270833333957626),-44.80958333333115,-3.3270833333957626,BR,Brazil,BRA,76.0
26410,0.717181,POINT (-39.16541666666478 -3.325416666729211),-39.16541666666478,-3.325416666729211,BR,Brazil,BRA,76.0
26411,1.55913,POINT (-44.73791666666443 -3.318750000062437),-44.73791666666443,-3.318750000062437,BR,Brazil,BRA,76.0
26412,0.193151,POINT (-80.02208333332965 -3.3104166667288837),-80.02208333332965,-3.3104166667288837,EC,Ecuador,ECU,218.0
26413,57.2857,POINT (-44.7970833333311 -3.291250000061666),-44.7970833333311,-3.291250000061666,BR,Brazil,BRA,76.0
26414,5.81059,POINT (-39.188749999997924 -3.291250000061666),-39.188749999997924,-3.291250000061666,BR,Brazil,BRA,76.0
26415,0.680366,POINT (-39.29624999999811 -3.2141666668967446),-39.29624999999811,-3.2141666668967446,BR,Brazil,BRA,76.0
26416,0.97882,POINT (-44.742916666664485 -3.212916666726642),-44.742916666664485,-3.212916666726642,BR,Brazil,BRA,76.0
26417,31.879,POINT (-79.97374999999624 -3.205416666726478),-79.97374999999624,-3.205416666726478,EC,Ecuador,ECU,218.0
26418,23.0732,POINT (-39.38874999999797 -3.1854166667259847),-39.38874999999797,-3.1854166667259847,BR,Brazil,BRA,76.0
26419,0.626105,POINT (-44.62458333333103 -3.1620833333920473),-44.62458333333103,-3.1620833333920473,BR,Brazil,BRA,76.0
26420,1.83225,POINT (-44.62374999999787 -3.1604166667253253),-44.62374999999787,-3.1604166667253253,BR,Brazil,BRA,76.0
26421,1.18537,POINT (-79.90208333332976 -3.1354166667247796),-79.90208333332976,-3.1354166667247796,EC,Ecuador,ECU,218.0
26422,0.376361,POINT (-39.48083333333136 -3.1262500035413154),-39.48083333333136,-3.1262500035413154,BR,Brazil,BRA,76.0
26423,1.65212,POINT (-79.8870833333296 -3.0729166667233017),-79.8870833333296,-3.0729166667233017,EC,Ecuador,ECU,218.0
26424,1.36698,POINT (-79.867916666663 -3.0587500000563637),-79.867916666663,-3.0587500000563637,EC,Ecuador,ECU,218.0
26425,2.2408,POINT (-44.53124999999784 -3.0537500000561977),-44.53124999999784,-3.0537500000561977,BR,Brazil,BRA,76.0
26426,1.38633,POINT (-44.48124999999783 -3.014583333388657),-44.48124999999783,-3.014583333388657,BR,Brazil,BRA,76.0
26427,14.9954,POINT (-39.70791666666457 -3.002916666721717),-39.70791666666457,-3.002916666721717,BR,Brazil,BRA,76.0
26428,7.01723,POINT (-79.84624999999642 -2.9895833333881114),-79.84624999999642,-2.9895833333881114,EC,Ecuador,ECU,218.0
26429,10.0312,POINT (-44.677916666664544 -2.987083333387943),-44.677916666664544,-2.987083333387943,BR,Brazil,BRA,76.0
26430,1.39143,POINT (-44.44541666666447 -2.9770833333877817),-44.44541666666447,-2.9770833333877817,BR,Brazil,BRA,76.0
26431,0.5491,POINT (-41.32624999999791 -2.9725000002075035),-41.32624999999791,-2.9725000002075035,BR,Brazil,BRA,76.0
